Contig	06/29/10	05/22/13	07/10/09	12/23/13	12/11/12	02/23/11	09/18/13	03/13/13	09/28/11	05/17/10	04/29/11	11/29/11	05/22/13	01/15/14	05/21/11	02/13/13	05/22/13	08/11/10	01/26/12	01/16/13	04/27/10	11/23/10	05/21/14	02/11/10	09/10/14	12/20/11	10/21/10	01/11/11	12/23/13	06/22/11	08/19/09	09/24/09	04/24/13	10/21/10	04/10/14	11/28/12	07/21/10	06/29/10	08/14/13	12/23/09	07/17/14	09/10/14	07/20/11	10/22/09	08/14/13	07/09/12	08/14/13	10/22/09	06/29/10	07/21/10	10/25/11	05/21/14	02/11/10	09/10/14	03/13/13	12/11/12	04/10/14	08/11/10	09/18/13	02/12/14	12/20/11	07/10/09	11/28/12	01/16/13	07/18/13	01/26/12	08/17/11	12/16/10	01/11/11	05/21/11	12/20/11	09/15/10	09/24/09	11/13/13	06/22/11	06/19/13	06/20/12	02/16/12	06/19/13	08/19/09	11/28/12	12/23/09	11/23/10	08/17/11	01/26/12	11/29/11	11/29/11	11/13/13	09/15/10	09/28/11	12/23/13	02/16/12	08/15/12	02/12/14	05/17/10	03/24/10	04/29/11	02/23/11	04/27/10	12/16/10	04/24/13	05/30/12	02/13/13	03/24/10	07/18/13	08/15/12	07/20/11	10/25/11	07/17/14	05/30/12	01/15/14
1126415_scaffold00816	3.7952805	0.43636683	75.69663	0.56643283	0.9691386	0.23782364	4.762635	1.5532967	0.8908012	0.44537938	0.6347397	0	0	3.9488692	1.1240879	0.6695917	0.31212783	0.68052083	1.5961281	1.1431874	0.19981538	14.518033	7.1493764	0.9663635	0.8547337	0.29892588	0.23654789	0.9667553	0	0.4913333	0.6570344	0.48506972	0.82137424	0.26820377	4.140421	0	0.6415001	0.67898583	2.1117516	1.7572843	3.6921957	0.96165025	1.1473035	3.5385606	0	0.6861033	1.5449874	3.0338888	0.44350597	1.4306995	1.7864591	7.090105	1.126741	1.7047249	1.576427	0.96361613	3.7895613	0.7076652	4.46409	1.6101112	0	77.30547	1.1177503	0.59222937	1.5958196	1.351304	0	0.45004535	0.7877237	1.1597428	0.18939818	0.3915253	0.41256523	1.4536738	0.40570238	0.71860504	0.6487874	0.7450624	0.66399676	0.9413315	1.1675042	2.0848224	14.746645	0	0	1.5358739	1.3763857	1.8497303	0.66611165	0.7779015	0.6934649	0.87363744	0	1.3643649	0.3443634	1.5341247	0.8937775	0.46739265	0.43178493	0.894337	0.5524064	1.5190871	0.78462267	1.1860461	1.3088866	0.555126	1.1106011	1.8707404	4.27773	0.952191	3.5673637
1126415_scaffold00868	8.41019	14.751247	100.30322	23.93511	21.634178	4.5763626	31.441647	22.955734	19.766655	7.219118	14.566125	0	0	40.20923	419.96902	45.46968	15.629966	144.46089	9.265009	55.51517	6.4429426	6.287896	6235.4077	6.3561444	20.321064	13.369822	8.228805	0.87986946	0	141.52036	30.897356	4.907823	12.693169	9.206033	7.6073422	0	277.32056	269.53275	15.050275	15.2319145	5.6129174	15.503954	67.20795	28.052252	0	15.719512	16.24866	26.584238	263.96176	276.5449	14.157529	6223.2095	6.7193146	8.274747	20.70136	22.551748	9.282046	143.47556	28.47075	111.069305	0	96.60564	58.297184	63.140423	10.907804	11.5957985	49.658997	7.4897947	0.8583631	428.05096	13.868905	40.145573	5.0541677	31.403717	138.92325	44.789692	21.654188	18.433277	44.31687	32.841343	56.012955	15.073833	6.573703	49.6082	0	18.121988	22.961304	31.553381	43.135647	20.806196	22.200123	17.02315	0	114.69203	7.5577593	16.801903	13.775835	4.091812	6.4159813	8.567997	10.7529	11.51194	59.33199	17.785255	10.040555	2.2652287	63.704258	15.201877	7.1191306	11.224716	35.19744
1126415_scaffold00959	3.4152772	0.3802752	71.66317	165.59483	2.5174484	42.40056	2.223447	1.4100336	3.1698735	48.799168	3.6300387	0	0	233.53107	3.143971	0.9378013	0.43715274	213.62517	2.2434807	1.0118057	47.015274	67.01852	240.21571	70.46772	63.712494	1.0233978	60.89763	7.196237	0.262786	2.809906	240.74629	130.51408	1.1077747	62.489845	397.9886	0	296.61386	17.11725	2.8115723	134.40347	1.2375355	58.13885	1.7042496	225.13136	0	2.3633606	2.9919806	219.12369	19.034962	297.98373	1.482689	233.24692	73.99762	15.474953	1.5741338	2.0993767	398.1906	222.6288	2.6873543	142.98036	0	71.76466	0.17394146	1.290257	10.926844	2.0853407	1.0357759	45.960403	10.909937	2.6238465	1.5267355	121.102745	135.17447	8.404832	2.7679431	2.1075182	2.348866	1.2753918	1.6877147	236.27228	0.4769205	132.16364	64.02001	1.1042781	0	1.4639286	1.7299933	9.067284	122.15999	2.6026833	168.62355	2.0302346	0	142.6108	44.452034	130.35017	3.8501909	47.689552	44.952297	47.172806	0.94560486	10.953036	1.3675308	118.86273	12.653967	6.2331753	1.6524128	1.1038293	0.93196505	10.458863	215.61794
1126415_scaffold01134	0	1.4514223	109.90331	4.8783216	0.35423106	1.8834229	3.3483686	0.15376492	29.206123	0.1763571	107.02294	232.24641	0	2.7157884	6.026972	0.68178487	1.324215	0.035147764	1.7737324	2.716011	0.158242	6.870183	3.2084007	0.37139702	0.1450497	6.391754	0.28099796	0.2392541	0.28656954	3.6478777	29.289242	1.519125	0.6040171	0.21240157	0.86162686	0	0.23447552	0.05761251	7.7115417	1.9609833	0.6747695	0	8.332244	0	0	5.1985703	5.607887	0.10921187	0.31610748	0.056651473	1.5158253	1.6844833	0.41641244	1.3500415	0	0.24529085	0.834986	0.06725149	2.791023	1.453629	0	114.05126	7.7770467	1.9698448	2.7081323	0.93638384	5.944837	6.5490217	0.08911868	8.901879	6.6146555	0	2.450455	4.2506733	3.297474	2.4295886	15.368705	1.5804789	2.3005774	27.396353	11.384069	2.3557754	7.315087	5.8490744	0	9.065395	6.9802976	5.2735577	0.025525218	36.369076	3.569691	1.2453645	0	1.694415	0.1636293	1.1792029	106.51067	1.2492474	0	5.4237967	0.46872136	3.0075686	0.4660311	2.465606	2.4294395	0.45653576	7.143504	0.740758	0.6775419	2.6392767	4.7220216
1126415_scaffold01135	0	0.05184885	34.433353	0	0	0.28258067	1.0393963	0	0.35281494	26.548061	31.864697	0	0	0.12347429	5.4508348	0	0.05298121	2.3906167	0	0.25468662	0.23741947	12.357961	0.28316158	0	0	0.101480566	33.10319	0.909382	0	4.0865955	3.2870924	0	0.18589565	35.231644	0.14363866	0	14.658207	22.301346	0.27879676	0.25309032	0	0	1.7659887	0.3409052	0	30.009056	0.6119151	0	19.23445	14.562894	0.6064744	0.18720937	0	0	0.07804589	0.16356616	0.18156189	3.4979095	0.27916873	0.076524995	0	36.456924	0.5059446	0.21110505	0.36117023	0.066900484	0.71355027	4.9463563	1.1588185	5.9006658	0.18003346	4.9214115	0	0	3.805683	0.13136037	41.44643	0	0	3.6816785	0.46240723	0.483351	11.64916	0.86036265	0	0	0	0	4.902008	0.26408514	0	0	51.813747	0.22106324	26.759754	0.107225776	34.03167	0.50907385	0.4397523	6.5436625	0.28129974	34.552296	0	0	0.19440143	172.89067	1.7380227	0.6483175	0	32.810246	0
1126415_scaffold01148	0.098439395	1.8742913	90.91105	2.027461	0.17789161	1.1822972	1.7395039	1.0038513	1.9839487	0	0.14199722	0	0	1.1158724	0.036247786	0.22825743	1.0108132	0.6354319	0.49144953	0.34098896	0	0.17037745	0	0.40693566	0.43705583	0.6623563	0	0	0	20.371073	24.920362	0.5261316	0.09333289	0	0.6129933	0	1.4130175	0.05786495	0.74653804	1.0800899	0.8471578	0.5736804	18.85303	0.79874086	0	0.37611407	0.5120418	0.3290712	0.052915435	0.85349566	1.0149782	0.093992464	0.62735564	0.6779785	0.7053229	0.9033408	1.0574214	1.1145117	1.8221141	1.1526304	0	85.52849	0.6350508	0.4946191	0.9066662	0.4030658	0.47767088	0.73831534	0	0	0.8587017	0	0.21877265	1.4675715	18.979864	0.19785686	0.20490327	1.0794348	0.0660188	25.223364	0.87060547	1.5167294	0.19334577	0.17278539	0	0.7444436	0.8842555	1.655208	0	0.994422	1.7467006	1.1118414	0	1.3318743	0.36977908	0.9690299	0.24235927	1.2082502	0.4415741	0.6177649	0.094155036	0.17261411	0.09361463	0.35377282	1.464051	0.5604332	21.395138	1.4880075	1.531149	0.09467291	2.3105524
1126415_scaffold01154	15.490776	0.3652895	60.1502	10.66882	1.1589731	0.85322523	1.2785902	10.371353	5.1844163	5.0155063	5.2186213	0	0	4.349553	1.2352787	0.11439301	0	4.953693	2.0934973	8.031797	2.8674612	0.45539197	2.849931	3.3649938	1.1681812	0	0.47147137	3.0348227	0.28849173	0.46516392	4.797113	0.31640998	4.724226	0.5702034	5.818851	0	0.11802414	3.4799373	9.259802	0.12736367	2.2077107	0.71876115	1.5591327	4.574803	0	1.3748869	9.0328045	5.7171097	4.19	0	5.595307	3.4857748	2.7248363	0.67954856	9.268982	1.481617	6.2130327	4.129858	2.3882825	1.0782796	0	62.69718	0.31826067	6.940703	0.27262977	1.9526628	6.4634905	0.470925	2.0634785	0.28449494	0.2717969	3.2282336	0.16445947	2.6744907	0.6894538	3.0408306	1.3463653	0.19092964	4.036473	4.7374015	0.58174765	0.18242902	0.7751741	6.2346787	0	1.3201426	2.025836	2.2120545	1.9529288	5.5816584	11.149486	0.13930202	259.3254	0.37082183	5.394804	17.051254	4.761242	0.60552406	3.8358376	0.5629049	5.096146	5.62295	0	18.675184	0.3913177	1.4809271	0.9718135	6.1522455	2.2167814	6.5475583	4.8755856
1126415_scaffold01185	0	2.2314734	143.3682	3.1897073	3.4491882	0.24130398	1.5384567	3.1520555	0.7230698	0.49708688	0.04830214	0	0	1.7713643	0.07398085	2.795207	1.1943947	0.97267574	1.2537956	5.567601	1.1353413	4.5205703	16.926003	2.6992736	935.72925	1.611825	0.5120204	0.14713544	0	0	51.3671	375.13962	1.7144111	0.54425746	1.8030623	0	6.0081964	0.4724038	0.4761456	14.977206	2.5935426	943.4267	0.031747997	44.365017	0	0	0.4180259	39.066265	1.1879903	6.3872	0.31073186	11.989771	2.713266	764.5151	2.799119	3.0169575	2.0837517	0.4825103	2.145514	2.3524904	0	154.8168	13.155649	5.0475273	0.4626209	1.5081872	0.365593	0	0.091343015	0.18103303	1.1530192	12.896149	380.92853	14.159492	0	0.134607	0.20910127	2.4622886	0.2694855	57.01989	12.082814	11.268011	3.4528725	0	0	2.454401	2.1270196	12.949917	13.002667	0.6765303	2.3453772	1.8437583	0	2.491796	0.7127817	16.481386	0	0.28453952	0.9763454	0.11462208	1.9697235	0.0880753	3.439173	19.856146	0.19920616	0	0.1978865	0.664341	1.7361321	0.3864502	2.1096914
1126415_scaffold01207	0.20250943	26.562113	111.49789	7.9073143	32.021362	9.582951	24.81097	9.134193	20.771297	24.596416	10.418822	0.4817978	0	13.645897	74.41978	2.5826406	28.236662	7.2985883	24.769735	14.468071	18.228115	2.6579607	12.088615	5.022886	9.590516	23.321402	4.548047	2.620055	0.29605687	11.758179	35.521324	24.082449	11.760264	3.840086	16.245281	1.4420445	7.630503	9.285098	28.891811	29.93111	2.2656035	7.2285714	26.816301	31.220211	0	6.4857755	24.754238	27.755562	6.31374	6.906187	35.287403	16.435703	7.2826457	15.342106	7.899833	26.270336	15.002252	7.8510094	29.122585	26.636368	2.4269106	121.4456	32.725967	15.335629	15.201322	24.8065	32.305084	5.5921717	3.130349	74.52158	25.707518	2.7059464	23.853123	14.272044	11.739813	18.452068	5.97163	16.00147	19.828815	38.7005	32.059055	24.025652	2.3202128	32.10934	0	35.22378	33.783092	8.9667425	2.8743594	23.253061	5.484527	17.654936	0	21.46279	25.906376	12.514671	8.475882	8.269437	23.39145	5.3722935	11.1375	7.279583	2.3110073	15.889888	15.761986	2.8823063	26.694326	36.877026	3.3248718	7.9852023	17.762205
1126415_scaffold01239	0	0.37759146	90.48445	0.61267316	0.2764625	0	29.196442	0	0.5138779	0.045879778	0.2942384	0	0	3.8537438	0.2253317	0.2364909	0.1653591	0.036575142	0.19094123	0	0.9880099	0.4118873	0	1.0891702	1.0565821	0.4223066	0.38987938	0	0	0.40490893	9.147884	0.10902193	0.0966995	0.44205475	0.22415456	0	0	0	22.333841	0.987397	0	0.29718682	37.809074	2.1279912	0	0.06876722	22.38759	0.7955293	0	0.058952134	0.10515895	0	0.9595017	0	0.08119608	0.34033644	0.2644464	0.13996525	28.317593	0	0	88.04409	5.0004783	0	1.2211816	0.1392016	3.216856	1.2517314	0	0.07351899	0.70237577	0.28020206	0.113332	5.52912	0.739068	0	0.21229433	0.13157308	0	8.1454115	5.35192	1.0057212	0.33386657	2.7449417	0	0.17799148	0	8.574564	0.23905633	0.82423335	0.7619814	0.21598999	0	0	0.21284299	0.11155376	0.15066084	0.04814742	0.9912545	1.6873997	0.0975513	0.35768098	0	0	1.2134886	0.07917935	34.020473	0	0.3525287	0.39235142	2.8978746
1126415_scaffold01278	3.0157151	501.0446	59.61661	3.5696423	16.537184	9.342254	19.968485	21.861715	3.0688784	6.689461	15.950438	34.142162	368.17468	9.954261	10.721682	10.489084	516.82043	7.7941036	5.9703555	8.375035	10.493587	7.169389	15.418873	3.0808203	6.925507	3.659996	13.085188	3.3000836	18.243303	4.876779	30.509762	9.782063	181.21893	14.197782	28.454489	42.20857	8.023233	52.01978	24.94054	4.899562	3.4007232	6.8178263	3.6151354	4.8216004	0	67.19422	25.85572	5.330278	51.035984	9.737521	4.9321685	17.475481	2.5878062	12.891747	20.697071	15.441956	28.92767	7.7063346	22.209913	9.253948	7.97592	60.853542	16.301895	11.196633	19.922054	4.5418005	11.605931	7.3740463	2.2693536	10.981736	4.105921	4.4153123	9.186574	6.4831753	5.409489	82.00298	60.343487	9.524874	81.03956	29.512905	13.611515	4.4222226	6.8423123	12.229402	1.2154312	7.5012484	9.274446	6.6444583	4.54989	4.8322783	2.233655	10.056962	4.112816	8.5200205	5.946259	5.3458395	15.873573	9.523764	7.8523045	9.314371	171.67528	504.09955	9.197082	4.1109343	20.724516	525.4577	3.6189814	4.4701276	3.2349741	490.9555	11.304941
